year,state,total_votes,dem,rep,other
1992,UT,743998,0.24654501759413300,0.4336463270062550,0.3198086553996110
1992,VA,2559129,0.4058607440265810,0.4495736635394310,0.1443842807455190
1992,VT,289701,0.46113751764750600,0.30418258825478700,0.2329953987041810
1992,WA,2287565,0.43410220037463400,0.31965605348919000,0.24624174613617500
1992,WI,2531064,0.4113155574098480,0.36777220963199700,0.22091223295815500
1992,WV,683677,0.4841482161898090,0.35393029164356900,0.16192149216662300
1992,WY,199884,0.34099777871165300,0.3969652398391070,0.26203698144924100
1996,AK,241620,0.33267113649532300,0.5080125817399220,0.15669232679414000
1996,AL,1534349,0.4315608769582410,0.5012184320516390,0.06648878449427090
1996,AR,884262,0.5373644915194820,0.36800857664357400,0.09462693183694430
1996,AZ,1404405,0.4651706594607680,0.4429441649666590,0.09005308297820070
1996,CA,10019469,0.5109886561852730,0.3820942008004620,0.10683200876214100
1996,CO,1510702,0.44426498409348800,0.457964575409313,0.09777044049719930
1996,CT,1392614,0.5283158147196570,0.34690804487101200,0.12477255003899100
1996,DC,185726,0.8519001109160810,0.09335795742114730,0.05125292096960040
1996,DE,270810,0.518278497839814,0.3657988995975040,0.11592260256268200
1996,FL,5303154,0.4802557119781930,0.42324548749668600,0.09564044340405730
1996,GA,2298899,0.4584146584952190,0.4701568011469840,0.07142854035779740
1996,HI,360120,0.5692880151060760,0.3164028657114300,0.11430911918249500
1996,IA,1234075,0.5026096469015250,0.3992010210076370,0.09818933209083730
1996,ID,491711,0.3364638985094900,0.521841081448249,0.1416950200422610
1996,IL,4311391,0.5431527783028730,0.3680995298269170,0.08840951794907950
1996,IN,2135431,0.41557137645749300,0.4714238015651170,0.11235717754401800
1996,KS,1074300,0.3608479940426320,0.542907009215303,0.09528995625058180
1996,KY,1388708,0.4584217848532590,0.4488222146052300,0.0922454540479352
1996,LA,1783959,0.5200999574541790,0.3994407943231880,0.08045924822263290
1996,MA,2556459,0.614720987115381,0.2808799202334170,0.10259073194602400
1996,MD,1780870,0.5425477435186170,0.38269497492798500,0.0732765446102186
1996,ME,605897,0.5162395588689170,0.3076067384390420,0.17615370269204200
1996,MI,3848844,0.5169482057469720,0.3848459433533810,0.09699042101992180
